[06-Jun-2022 12:34:00 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 33
[06-Jun-2022 12:34:00 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 34
[06-Jun-2022 12:34:00 Asia/Calcutta] PHP Notice:  Undefined variable: total in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 36
[06-Jun-2022 12:34:00 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 33
[06-Jun-2022 12:34:00 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 34
[06-Jun-2022 12:34:00 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 33
[06-Jun-2022 12:34:00 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/remove-cart-item.php on line 34
[06-Jun-2022 12:34:26 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/qty-update.php on line 67
[06-Jun-2022 12:34:26 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/qty-update.php on line 68
[06-Jun-2022 12:34:26 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/qty-update.php on line 67
[06-Jun-2022 12:34:26 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/qty-update.php on line 68
[06-Jun-2022 12:34:26 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/qty-update.php on line 67
[06-Jun-2022 12:34:26 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/qty-update.php on line 68
[06-Jun-2022 12:34:27 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/qty-update.php on line 67
[06-Jun-2022 12:34:27 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/qty-update.php on line 68
[06-Jun-2022 12:34:27 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/qty-update.php on line 67
[06-Jun-2022 12:34:27 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/qty-update.php on line 68
[06-Jun-2022 12:34:27 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/qty-update.php on line 67
[06-Jun-2022 12:34:27 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/qty-update.php on line 68
[06-Jun-2022 12:41:27 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/add_items.php on line 61
[06-Jun-2022 12:41:28 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 34
[06-Jun-2022 12:41:28 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 39
[06-Jun-2022 12:41:28 Asia/Calcutta] PHP Notice:  Trying to access array offset on value of type null in /home/u565281308/domains/cybertizeweb.com/public_html/cms/boxoniq-crm/api/droid/get-order-details-subscription-bo.php on line 41
